datetime,total_assets,cash,number_of_trades,number_of_winners,sum_of_winners,sum_of_losers
2023-02-02,1000000.0,1000000.0,0,0,0.0,0.0
2023-02-03,1000000.0,1000000.0,0,0,0.0,0.0
2023-02-06,1000000.0,1000000.0,0,0,0.0,0.0
2023-02-07,1000000.0,1000000.0,0,0,0.0,0.0
2023-02-08,1000000.0,1000000.0,0,0,0.0,0.0
2023-02-09,1000000.0,1000000.0,0,0,0.0,0.0
2023-02-10,1000000.0,1000000.0,0,0,0.0,0.0
2023-02-13,1000000.0,1000000.0,0,0,0.0,0.0
2023-02-14,1000000.0,1000000.0,0,0,0.0,0.0
2023-02-15,1000000.0,1000000.0,0,0,0.0,0.0
2023-02-16,1000000.0,1000000.0,0,0,0.0,0.0
2023-02-17,1000000.0,1000000.0,0,0,0.0,0.0
2023-02-20,995812.1138800001,104772.51388000004,0,0,0.0,0.0
2023-02-21,989367.51388,104772.51388000004,0,0,0.0,0.0
2023-02-22,955702.4638799999,104772.51388000004,0,0,0.0,0.0
2023-02-23,970229.06388,104772.51388000004,0,0,0.0,0.0
2023-02-24,941883.2138799999,104772.51388000004,0,0,0.0,0.0
2023-02-27,916419.76388,104772.51388000004,0,0,0.0,0.0
2023-02-28,917572.06388,104772.51388000004,0,0,0.0,0.0
2023-03-01,947429.06388,104772.51388000004,0,0,0.0,0.0
2023-03-02,936604.1138800001,104772.51388000004,0,0,0.0,0.0
2023-03-03,919449.76388,104772.51388000004,0,0,0.0,0.0
2023-03-06,922951.6138800001,104772.51388000004,0,0,0.0,0.0
2023-03-07,937166.51388,104772.51388000004,0,0,0.0,0.0
2023-03-08,954683.01388,104772.51388000004,0,0,0.0,0.0
2023-03-09,958982.7138799999,104772.51388000004,0,0,0.0,0.0
2023-03-10,949569.56388,104772.51388000004,0,0,0.0,0.0
2023-03-13,937589.01388,104772.51388000004,0,0,0.0,0.0
2023-03-14,915055.1138800001,104772.51388000004,0,0,0.0,0.0
2023-03-15,951502.1138800001,104772.51388000004,0,0,0.0,0.0
2023-03-16,935077.56388,104772.51388000004,0,0,0.0,0.0
2023-03-17,932203.9638799999,104772.51388000004,0,0,0.0,0.0
2023-03-20,915668.80403,915668.80403,3,0,0.0,84331.19597
2023-03-21,911834.4039700001,96004.60397000005,0,0,0.0,0.0
2023-03-22,910702.60397,96004.60397000005,0,0,0.0,0.0
2023-03-23,909631.60397,96004.60397000005,0,0,0.0,0.0
2023-03-24,904033.80397,96004.60397000005,0,0,0.0,0.0
2023-03-27,905270.4039700001,96004.60397000005,0,0,0.0,0.0
2023-03-28,908017.2039700001,96004.60397000005,0,0,0.0,0.0
2023-03-29,906330.4039700001,96004.60397000005,0,0,0.0,0.0
2023-03-30,915901.0039700002,96004.60397000005,0,0,0.0,0.0
2023-03-31,916589.0039700001,96004.60397000005,0,0,0.0,0.0
2023-04-03,917365.8039700001,96004.60397000005,0,0,0.0,0.0
2023-04-04,924544.4039700001,96004.60397000005,0,0,0.0,0.0
2023-04-05,926769.60397,96004.60397000005,0,0,0.0,0.0
2023-04-06,924655.80397,96004.60397000005,0,0,0.0,0.0
2023-04-07,919806.4039700001,96004.60397000005,0,0,0.0,0.0
2023-04-10,911128.4039700001,96004.60397000005,0,0,0.0,0.0
2023-04-11,914512.8039700001,96004.60397000005,0,0,0.0,0.0
2023-04-12,919661.4039700001,96004.60397000005,0,0,0.0,0.0
2023-04-13,919400.60397,96004.60397000005,0,0,0.0,0.0
2023-04-14,919384.00397,96004.60397000005,0,0,0.0,0.0
2023-04-17,910341.00397,96004.60397000005,0,0,0.0,0.0
2023-04-18,904542.00397,96004.60397000005,0,0,0.0,0.0
2023-04-19,902233.80397,96004.60397000005,0,0,0.0,0.0
2023-04-20,901481.78421,901481.78421,3,1,17079.503999999957,31266.523819999973
2023-04-21,897706.7620699999,94510.56206999999,0,0,0.0,0.0
2023-04-24,911420.1620699998,94510.56206999999,0,0,0.0,0.0
2023-04-25,903596.16207,94510.56206999999,0,0,0.0,0.0
2023-04-26,902982.16207,94510.56206999999,0,0,0.0,0.0
2023-04-27,898909.1620699998,94510.56206999999,0,0,0.0,0.0
2023-04-28,911564.56207,94510.56206999999,0,0,0.0,0.0
2023-05-04,890316.36207,94510.56206999999,0,0,0.0,0.0
2023-05-05,896253.1620700001,94510.56206999999,0,0,0.0,0.0
2023-05-08,896914.56207,94510.56206999999,0,0,0.0,0.0
2023-05-09,890035.7620699999,94510.56206999999,0,0,0.0,0.0
2023-05-10,891377.96207,94510.56206999999,0,0,0.0,0.0
2023-05-11,907775.7620699999,94510.56206999999,0,0,0.0,0.0
2023-05-12,927383.96207,94510.56206999999,0,0,0.0,0.0
2023-05-15,935140.1620700001,94510.56206999999,0,0,0.0,0.0
2023-05-16,948167.9620699999,94510.56206999999,0,0,0.0,0.0
2023-05-17,963732.96207,94510.56206999999,0,0,0.0,0.0
2023-05-18,959455.96207,94510.56206999999,0,0,0.0,0.0
2023-05-19,966178.7620699999,94510.56206999999,0,0,0.0,0.0
2023-05-22,965652.2616899998,965652.2616899998,3,2,69720.68227999995,5550.204799999949
2023-05-23,961608.3170650001,101194.56706500001,0,0,0.0,0.0
2023-05-24,964753.267065,101194.56706500001,0,0,0.0,0.0
2023-05-25,958982.717065,101194.56706500001,0,0,0.0,0.0
2023-05-26,961441.217065,101194.56706500001,0,0,0.0,0.0
2023-05-29,971282.8170650001,101194.56706500001,0,0,0.0,0.0
2023-05-30,984020.8170650001,101194.56706500001,0,0,0.0,0.0
2023-05-31,974389.267065,101194.56706500001,0,0,0.0,0.0
2023-06-01,977448.6670650002,101194.56706500001,0,0,0.0,0.0
2023-06-02,987019.467065,101194.56706500001,0,0,0.0,0.0
2023-06-05,993763.1670650002,101194.56706500001,0,0,0.0,0.0
2023-06-06,1025024.217065,101194.56706500001,0,0,0.0,0.0
2023-06-07,1021223.017065,101194.56706500001,0,0,0.0,0.0
2023-06-08,1003961.5670650001,101194.56706500001,0,0,0.0,0.0
2023-06-09,1017047.8170650001,101194.56706500001,0,0,0.0,0.0
2023-06-12,1035374.517065,101194.56706500001,0,0,0.0,0.0
2023-06-13,1026788.6670650002,101194.56706500001,0,0,0.0,0.0
2023-06-14,1004718.8170650001,101194.56706500001,0,0,0.0,0.0
2023-06-15,1001594.467065,101194.56706500001,0,0,0.0,0.0
2023-06-16,1001060.967065,101194.56706500001,0,0,0.0,0.0
2023-06-19,993068.4170650002,101194.56706500001,0,0,0.0,0.0
2023-06-20,1006093.5084299999,1006093.5084299999,3,2,47461.46324000001,7020.21649999998
2023-06-21,1001880.40258,105474.90258000011,0,0,0.0,0.0
2023-06-22,1002344.4525800002,105474.90258000011,0,0,0.0,0.0
2023-06-23,1001464.80258,105474.90258000011,0,0,0.0,0.0
2023-06-26,1002862.8525800001,105474.90258000011,0,0,0.0,0.0
2023-06-27,1009594.5025800001,105474.90258000011,0,0,0.0,0.0
2023-06-28,1012124.2025800002,105474.90258000011,0,0,0.0,0.0
2023-06-29,998283.2025800002,105474.90258000011,0,0,0.0,0.0
2023-06-30,1000072.6525800001,105474.90258000011,0,0,0.0,0.0
2023-07-03,1006592.2525800002,105474.90258000011,0,0,0.0,0.0
2023-07-04,1009457.7025800002,105474.90258000011,0,0,0.0,0.0
2023-07-05,972880.3525800002,105474.90258000011,0,0,0.0,0.0
2023-07-06,968008.80258,105474.90258000011,0,0,0.0,0.0
2023-07-07,974108.20258,105474.90258000011,0,0,0.0,0.0
2023-07-10,978283.3525800002,105474.90258000011,0,0,0.0,0.0
2023-07-11,976462.5025800001,105474.90258000011,0,0,0.0,0.0
2023-07-12,978371.0525800001,105474.90258000011,0,0,0.0,0.0
2023-07-13,981445.3025800001,105474.90258000011,0,0,0.0,0.0
2023-07-14,997474.3025800001,105474.90258000011,0,0,0.0,0.0
2023-07-17,997714.5025800001,105474.90258000011,0,0,0.0,0.0
2023-07-18,995937.5025800001,105474.90258000011,0,0,0.0,0.0
2023-07-19,995241.1025800001,105474.90258000011,0,0,0.0,0.0
2023-07-20,999484.2168800001,999484.2168800001,3,2,15260.001390000107,21869.292940000014
2023-07-21,995298.4044000002,104700.00440000033,0,0,0.0,0.0
2023-07-24,994925.8544000002,104700.00440000033,0,0,0.0,0.0
2023-07-25,999354.9044000003,104700.00440000033,0,0,0.0,0.0
2023-07-26,1000105.2544000003,104700.00440000033,0,0,0.0,0.0
2023-07-27,994500.7044000005,104700.00440000033,0,0,0.0,0.0
2023-07-28,1002526.2044000003,104700.00440000033,0,0,0.0,0.0
2023-07-31,1020875.6044000004,104700.00440000033,0,0,0.0,0.0
2023-08-01,1012769.5044000003,104700.00440000033,0,0,0.0,0.0
2023-08-02,1013314.9044000002,104700.00440000033,0,0,0.0,0.0
2023-08-03,1009511.2044000003,104700.00440000033,0,0,0.0,0.0
2023-08-04,1012149.4044000005,104700.00440000033,0,0,0.0,0.0
2023-08-07,1002550.1544000005,104700.00440000033,0,0,0.0,0.0
2023-08-08,995608.4044000002,104700.00440000033,0,0,0.0,0.0
2023-08-09,994812.5044000003,104700.00440000033,0,0,0.0,0.0
2023-08-10,983563.1044000002,104700.00440000033,0,0,0.0,0.0
2023-08-11,990290.5544000001,104700.00440000033,0,0,0.0,0.0
2023-08-14,996476.7044000003,104700.00440000033,0,0,0.0,0.0
2023-08-15,997437.2544000003,104700.00440000033,0,0,0.0,0.0
2023-08-16,1009721.9044000005,104700.00440000033,0,0,0.0,0.0
2023-08-17,1003156.8044000004,104700.00440000033,0,0,0.0,0.0
2023-08-18,955620.3044000004,104700.00440000033,0,0,0.0,0.0
2023-08-21,955365.5464150002,955365.5464150002,3,1,1325.9396150000393,45444.6100799999
2023-08-22,951364.6230050004,100104.32300500036,0,0,0.0,0.0
2023-08-23,942947.1730050003,100104.32300500036,0,0,0.0,0.0
2023-08-24,967937.4230050003,100104.32300500036,0,0,0.0,0.0
2023-08-25,971233.0230050003,100104.32300500036,0,0,0.0,0.0
2023-08-28,994362.0230050004,100104.32300500036,0,0,0.0,0.0
2023-08-29,1002691.5230050004,100104.32300500036,0,0,0.0,0.0
2023-08-30,1027077.9230050003,100104.32300500036,0,0,0.0,0.0
2023-08-31,1035395.6230050003,100104.32300500036,0,0,0.0,0.0
2023-09-05,1036151.6230050004,100104.32300500036,0,0,0.0,0.0
2023-09-06,1052205.1730050002,100104.32300500036,0,0,0.0,0.0
2023-09-07,1056842.7730050003,100104.32300500036,0,0,0.0,0.0
2023-09-08,1059763.5230050003,100104.32300500036,0,0,0.0,0.0
2023-09-11,1035300.8230050004,100104.32300500036,0,0,0.0,0.0
2023-09-12,1053473.0230050003,100104.32300500036,0,0,0.0,0.0
2023-09-13,1066405.1230050004,100104.32300500036,0,0,0.0,0.0
2023-09-14,1049837.8230050004,100104.32300500036,0,0,0.0,0.0
2023-09-15,1046696.9230050002,100104.32300500036,0,0,0.0,0.0
2023-09-18,1049665.6730050005,100104.32300500036,0,0,0.0,0.0
2023-09-19,1050746.3730050004,100104.32300500036,0,0,0.0,0.0
2023-09-20,1070177.5985000003,1070177.5985000003,3,3,114812.05208500003,0.0
2023-09-21,1065695.7008250004,112100.45082500047,0,0,0.0,0.0
2023-09-22,1064812.5508250003,112100.45082500047,0,0,0.0,0.0
2023-09-25,1044664.0508250005,112100.45082500047,0,0,0.0,0.0
2023-09-26,1026397.0508250005,112100.45082500047,0,0,0.0,0.0
2023-09-27,1034010.2508250005,112100.45082500047,0,0,0.0,0.0
2023-09-28,1019190.4508250004,112100.45082500047,0,0,0.0,0.0
2023-09-29,1018311.0508250005,112100.45082500047,0,0,0.0,0.0
2023-10-02,1021552.8508250006,112100.45082500047,0,0,0.0,0.0
2023-10-03,999128.9508250004,112100.45082500047,0,0,0.0,0.0
2023-10-04,1011103.0008250005,112100.45082500047,0,0,0.0,0.0
2023-10-05,1007448.1008250003,112100.45082500047,0,0,0.0,0.0
2023-10-06,1021965.9508250004,112100.45082500047,0,0,0.0,0.0
2023-10-09,1028856.1508250004,112100.45082500047,0,0,0.0,0.0
2023-10-10,1036972.6508250006,112100.45082500047,0,0,0.0,0.0
2023-10-11,1043731.7508250005,112100.45082500047,0,0,0.0,0.0
2023-10-12,1036341.1508250006,112100.45082500047,0,0,0.0,0.0
2023-10-13,1049806.3008250005,112100.45082500047,0,0,0.0,0.0
2023-10-16,1036558.5508250005,112100.45082500047,0,0,0.0,0.0
2023-10-17,1019809.2508250005,112100.45082500047,0,0,0.0,0.0
2023-10-18,1013031.6508250004,112100.45082500047,0,0,0.0,0.0
2023-10-19,995569.9008250004,112100.45082500047,0,0,0.0,0.0
2023-10-20,1006527.3930050004,1006527.3930050004,3,0,0.0,63650.205494999886
2023-10-23,1002312.2271450006,105468.42714500049,0,0,0.0,0.0
2023-10-24,1012814.7271450006,105468.42714500049,0,0,0.0,0.0
2023-10-25,1004076.8271450007,105468.42714500049,0,0,0.0,0.0
2023-10-26,972307.4271450005,105468.42714500049,0,0,0.0,0.0
2023-10-27,993421.9771450006,105468.42714500049,0,0,0.0,0.0
2023-10-30,974905.8271450007,105468.42714500049,0,0,0.0,0.0
2023-10-31,940315.9271450005,105468.42714500049,0,0,0.0,0.0
2023-11-01,948671.6271450005,105468.42714500049,0,0,0.0,0.0
2023-11-02,971792.5271450004,105468.42714500049,0,0,0.0,0.0
2023-11-03,970665.4271450005,105468.42714500049,0,0,0.0,0.0
2023-11-06,978643.8771450005,105468.42714500049,0,0,0.0,0.0
2023-11-07,971583.8271450005,105468.42714500049,0,0,0.0,0.0
2023-11-08,995297.2771450004,105468.42714500049,0,0,0.0,0.0
2023-11-09,1002850.0771450005,105468.42714500049,0,0,0.0,0.0
2023-11-10,991430.8271450005,105468.42714500049,0,0,0.0,0.0
2023-11-13,994234.1271450005,105468.42714500049,0,0,0.0,0.0
2023-11-14,1002124.1771450005,105468.42714500049,0,0,0.0,0.0
2023-11-15,1004433.0771450005,105468.42714500049,0,0,0.0,0.0
2023-11-16,1009122.9271450005,105468.42714500049,0,0,0.0,0.0
2023-11-17,1000308.0271450004,105468.42714500049,0,0,0.0,0.0
2023-11-20,992759.0683250003,992759.0683250003,3,1,533.0732999999891,14301.397980000009
2023-11-21,988601.4986150004,104012.19861500041,0,0,0.0,0.0
2023-11-22,988066.0486150002,104012.19861500041,0,0,0.0,0.0
2023-11-23,976022.0986150003,104012.19861500041,0,0,0.0,0.0
2023-11-24,973250.4986150004,104012.19861500041,0,0,0.0,0.0
2023-11-27,958363.5486150004,104012.19861500041,0,0,0.0,0.0
2023-11-28,963088.6486150003,104012.19861500041,0,0,0.0,0.0
2023-11-29,965045.6986150004,104012.19861500041,0,0,0.0,0.0
2023-11-30,982412.8486150003,104012.19861500041,0,0,0.0,0.0
2023-12-01,980361.6486150003,104012.19861500041,0,0,0.0,0.0
2023-12-04,989000.8486150005,104012.19861500041,0,0,0.0,0.0
2023-12-05,984479.7986150004,104012.19861500041,0,0,0.0,0.0
2023-12-06,987251.3986150005,104012.19861500041,0,0,0.0,0.0
2023-12-07,991512.5486150004,104012.19861500041,0,0,0.0,0.0
2023-12-08,983518.7986150004,104012.19861500041,0,0,0.0,0.0
2023-12-11,985268.2486150004,104012.19861500041,0,0,0.0,0.0
2023-12-12,987176.4486150004,104012.19861500041,0,0,0.0,0.0
2023-12-13,979770.4486150004,104012.19861500041,0,0,0.0,0.0
2023-12-14,978790.2486150004,104012.19861500041,0,0,0.0,0.0
2023-12-15,981539.1986150004,104012.19861500041,0,0,0.0,0.0
2023-12-18,981376.9986150004,104012.19861500041,0,0,0.0,0.0
2023-12-19,981441.5986150003,104012.19861500041,0,0,0.0,0.0
2023-12-20,977734.3627800003,977734.3627800003,3,1,5019.702779999934,20044.408325000084
2023-12-21,973639.7509800005,102445.75098000042,0,0,0.0,0.0
2023-12-22,995480.2009800004,102445.75098000042,0,0,0.0,0.0
2023-12-25,1019387.0009800005,102445.75098000042,0,0,0.0,0.0
2023-12-26,1019715.5509800005,102445.75098000042,0,0,0.0,0.0
2023-12-27,1028602.1009800003,102445.75098000042,0,0,0.0,0.0
2023-12-28,1039149.5009800005,102445.75098000042,0,0,0.0,0.0
2023-12-29,1041350.7009800004,102445.75098000042,0,0,0.0,0.0
2024-01-02,1047629.0009800005,102445.75098000042,0,0,0.0,0.0
2024-01-03,1053761.1509800004,102445.75098000042,0,0,0.0,0.0
2024-01-04,1067826.1009800003,102445.75098000042,0,0,0.0,0.0
2024-01-05,1076563.5509800005,102445.75098000042,0,0,0.0,0.0
2024-01-08,1078493.8009800005,102445.75098000042,0,0,0.0,0.0
2024-01-09,1081095.8509800003,102445.75098000042,0,0,0.0,0.0
2024-01-10,1085373.3009800005,102445.75098000042,0,0,0.0,0.0
2024-01-11,1082373.6509800004,102445.75098000042,0,0,0.0,0.0
2024-01-12,1079015.1009800003,102445.75098000042,0,0,0.0,0.0
2024-01-15,1069259.6509800004,102445.75098000042,0,0,0.0,0.0
2024-01-16,1085349.1509800004,102445.75098000042,0,0,0.0,0.0
2024-01-17,1083747.6009800003,102445.75098000042,0,0,0.0,0.0
2024-01-18,1088751.2009800004,102445.75098000042,0,0,0.0,0.0
2024-01-19,1103768.3509800006,102445.75098000042,0,0,0.0,0.0
2024-01-22,1130901.8812900004,1130901.8812900004,3,3,153167.51851000002,0.0
2024-01-23,1126165.9164200006,118513.81642000045,0,0,0.0,0.0
2024-01-24,1120856.0164200005,118513.81642000045,0,0,0.0,0.0
2024-01-25,1128841.0164200005,118513.81642000045,0,0,0.0,0.0
2024-01-26,1139008.2164200004,118513.81642000045,0,0,0.0,0.0
2024-01-29,1136581.7164200004,118513.81642000045,0,0,0.0,0.0
2024-01-30,1145667.4164200006,118513.81642000045,0,0,0.0,0.0
2024-01-31,1128859.7665200005,1128859.7665200005,3,1,14352.59798999998,16394.712760000082
